Region,Prodotto
LAZIO,Sagne e fagioli di Arnara
LAZIO,Strozzapreti
LAZIO,Tagliatelle di castagne
LIGURIA,Pasta sciancà
LIGURIA,Ravioli di patate rosse
LIGURIA,Testaroli
LIGURIA,Tortello di Terzorio
LIGURIA,Trofie
LOMBARDIA,Casoncelli della bergamasca
LOMBARDIA,Gnocchi di zucca
LOMBARDIA,Marubini
LOMBARDIA,Pizzoccheri bianchi della Valchiavenna
LOMBARDIA,Scarpinocc
LOMBARDIA,Tortelli di zucca
LOMBARDIA,Tortello amaro di Castel Goffredo
MOLISE,Cavatelli o Cecatelli (Cavatielli)
MOLISE,Fusilli
MOLISE,Orecchiette (Recchietelle)
MOLISE,Pasta imperiale
MOLISE,Ravioli scapolesi
MOLISE,Sagnetelle
MOLISE,Tacconelle (Taccozze)
MOLISE,Tagliolini
PIEMONTE,Agnolotti 
PIEMONTE,Plin
PIEMONTE,Rabaton
PIEMONTE,Ravioles della Val Varaita
PIEMONTE,Tajarin
PUGLIA,Capunti con cardoncelli e mollica fritta
PUGLIA,Cavatelli
PUGLIA,"Cìciri e trya, Lasagne e ceci alla salentina, Lajana e cìcici, Làcana e cìceri, Massa, Massa e cìciri"
PUGLIA,Fusilli
PUGLIA,Lagane
PUGLIA,Lasagne arrotolate
PUGLIA,Maccaruni
PUGLIA,Orecchiette
PUGLIA,Orecchiette con la rucola
PUGLIA,Orecchiette con le cime di rapa
PUGLIA,Pasta con cavolfiore
PUGLIA,Pasta con i fagiolini
PUGLIA,Pasta con i peperoni
PUGLIA,Pasta di grano bruciato
PUGLIA,Ravioli con ricotta
PUGLIA,Spaghetti alla Sangiovannello
PUGLIA,Spaghetti con le cozze
PUGLIA,Strascinato di grano arso
SARDEGNA,Coccoi a pitzus - Su scetti - Pasta dura - Coccoi de is sposus
SARDEGNA,Culurgiones - Culingionis - Culurzones de patata e cazzau
SARDEGNA,"Fregola sarda, Fregula"
SARDEGNA,"Gnocchetti, Maccarones, Cravoas, Cigiones, Cigioni"
SARDEGNA,Lorighittas
SARDEGNA,Malloreddus
SARDEGNA,Michitus nieddus -Tagliatelle nere; tagliatelle integrali nere
SARDEGNA,Ravioli di patate con origano selvatico di Ardauli - Culurzones de patata cun nebidedda de Ardaule
SARDEGNA,Ravioli dolci - Puligioni - Bruglioni - Pulicioni - Buldzoni 
SARDEGNA,Ravioli dolci ripieni di formaggio fresco acido - S'azza de casu - Coccias de casu
SARDEGNA,Raviolini dolci ripieni di melacotogna - Culingioneddus de melairanni
SARDEGNA,"Tallaniusu, Pasta po brodu, Tallaniusu cun casu, Pasta po su lori, Tallarinus"
SARDEGNA,"Tallutzas, Orecchiette"
SICILIA,Crespelle
SICILIA,Crespelle di riso
SICILIA,Maccaruna
SICILIA,Pasta che sàrdi
SICILIA,Pasta che vruoccoli arriminàti
SICILIA,Pasta cà muddica
SICILIA,Pasta di nocciola
TOSCANA,"Gnudi, Ravioli nudi, Strangolapreti, Strozzapreti, Gnocchi del casentino"
TOSCANA,"Lasagne bastarde della Lunigiana, Lasagne matte"
TOSCANA,Maccheroni della Garfagnana 
TOSCANA,"Pici, Pinci"
TOSCANA,Spaghetti di Lari Spaghetti di campagna
TOSCANA,Tortelli alla lastra di Corezzo
TOSCANA,"Tortello del melo, Raviolo"
TOSCANA,Tortello di patate
TOSCANA,Tortello dolce di Pitigliano
TOSCANA,Tortello maremmano 
TRENTO,Canederli trentini
UMBRIA,Bringoli
UMBRIA,Ciriole
UMBRIA,Passatelli
UMBRIA,Pici
UMBRIA,Strangozzi
UMBRIA,Umbricelli
VENETO,Bigoli in salsa;
VENETO,Casunziei
VENETO,Gnocchi della Lessinia
VENETO,Lasagne da fornèl
VENETO,Tortellini di Valeggio sul Mincio

ABRUZZO	Maccheroni alla chitarra
ABRUZZO	Maccheroni alla molinara, alla mugnaia
ABRUZZO	Maccheroni con le ceppe
ABRUZZO	Sagne a pezze, Tacconelle
BASILICATA	Fusilli lucani, Fusilli con il ferretto, Fusidd', Ferretti, Ferricieddi, Firzuli, minnicchi, minuich
BASILICATA	Maccheroni dei Certosini della Grancia di San Demetrio
BASILICATA	Manate e manatelle, Pasta a matassa, Manare
BASILICATA	Ravioli
BASILICATA	Tagliatelle, al 'Tratt di Oliveto Lucano
BASILICATA	U’ frrcidd, maccherone
CALABRIA	Dita d'apostolo
CALABRIA	Pasta col ferretto
CALABRIA	Pasta fileja
CALABRIA	Rafioli
CALABRIA	Taglierini e ciciri, Laganelle e ciciri
CAMPANIA	Cavatelli*
CAMPANIA	Fusillo Avellinese
CAMPANIA	Fusillo di Felitto
CAMPANIA	Fusillo di Gioi
CAMPANIA	Fusillo furitano, ò Fusillo furitano, ò Riccio furitano
CAMPANIA	Pasta mischiata
CAMPANIA	Ravioli Capresi
CAMPANIA	Ravioli allo zenzifero di Quaglietta
CAMPANIA	Ravioli co la pettola
CAMPANIA	Raviolo di ricotta di pecora
CAMPANIA	Scazzatiello, Cavatieddu
CAMPANIA	Scialatiello
CAMPANIA	Sciusciello, ò Sciuscello
EMILIA ROMAGNA	Anolini, Anvein, Amvei, Anvei, Anven
EMILIA ROMAGNA	Anolino, Anolen
EMILIA ROMAGNA	Bomba di tagliatelle
EMILIA ROMAGNA	Cappelletti all'uso di Romagna, Caplet
EMILIA ROMAGNA	Cappelletti, Caplitt
EMILIA ROMAGNA	Cappelletto reggiano
EMILIA ROMAGNA	Garganelli, Garganell, Maccheroni al pettine
EMILIA ROMAGNA	Gnocchetti con fagioli, Pisarei e fasò
EMILIA ROMAGNA	Gnocchetti di pangrattato, Pisarei
EMILIA ROMAGNA	Gnocchi, Gnocc
EMILIA ROMAGNA	"Gnocco di patate, Gnocchi di patate, Sgranfignone, Macarun 
s'al pateti, Gnòc"
EMILIA ROMAGNA	Gramigna gialla
EMILIA ROMAGNA	Gramigna paglia e fieno
EMILIA ROMAGNA	Gramigna verde
EMILIA ROMAGNA	Maccheroni bobbiesi, Maccheron bubbies
EMILIA ROMAGNA	Maltagliati, Puntarine, Malfatti, Malfattini, Meltajé, Maltajéd
EMILIA ROMAGNA	Pappardelle, Al Papardel; Al Papardeli
EMILIA ROMAGNA	Passatelli, Passatini, Pasadein, Pasadòin in bròd
EMILIA ROMAGNA	Pasticcio di cappelletti
EMILIA ROMAGNA	Pasticcio di maccheroni alla ferrarese, Al Pastiz
EMILIA ROMAGNA	Stricchetti, Farfallini, Scrichèt, Fiuchèt
EMILIA ROMAGNA	Strozzapreti, Strozaprit
EMILIA ROMAGNA	Tagliatella bolognese
EMILIA ROMAGNA	Tagliatelle con gli stridoli, Tajadël cun i strìdul, Tajadël  cun i strìgul, Tajadëli cun i stridle
